iter	Passed	Remaining
0	52	52939
1	104	52273
2	161	53729
3	216	53991
4	274	54677
5	331	54981
6	393	55880
7	454	56357
8	520	57341
9	585	57955
10	645	58040
11	727	59898
12	813	61774
13	902	63555
14	993	65248
15	1078	66303
16	1161	67153
17	1234	67347
18	1306	67452
19	1372	67258
20	1436	66982
21	1501	66743
22	1572	66796
23	1637	66609
24	1702	66382
25	1763	66081
26	1831	66006
27	1893	65728
28	1957	65559
29	2020	65328
30	2082	65099
31	2148	64988
32	2210	64781
33	2274	64613
34	2336	64433
35	2403	64353
36	2463	64116
37	2535	64190
38	2605	64201
39	2667	64028
40	2727	63808
41	2790	63647
42	2851	63460
43	2913	63306
44	2978	63214
45	3049	63250
46	3115	63162
47	3173	62943
48	3233	62752
49	3299	62692
50	3366	62638
51	3421	62367
52	3482	62225
53	3551	62217
54	3623	62266
55	3702	62421
56	3786	62641
57	3866	62790
58	3951	63028
59	4035	63221
60	4131	63600
61	4241	64167
62	4343	64596
63	4442	64976
64	4562	65632
65	4661	65974
66	4746	66093
67	4822	66093
68	4893	66020
69	4961	65918
70	5030	65818
71	5098	65711
72	5161	65546
73	5220	65329
74	5276	65082
75	5337	64889
76	5398	64709
77	5459	64536
78	5521	64368
79	5587	64259
80	5656	64176
81	5713	63965
82	5775	63803
83	5835	63637
84	5899	63509
85	5959	63339
86	6021	63194
87	6086	63082
88	6149	62942
89	6215	62844
90	6271	62642
91	6330	62479
92	6395	62374
93	6461	62273
94	6528	62191
95	6588	62037
96	6653	61943
97	6735	61997
98	6815	62027
99	6901	62110
100	6998	62297
101	7088	62410
102	7165	62399
103	7235	62337
104	7303	62249
105	7366	62130
106	7434	62048
107	7503	61974
108	7582	61979
109	7648	61884
110	7727	61888
111	7814	61954
112	7898	62003
113	7987	62076
114	8075	62148
115	8160	62191
116	8237	62165
117	8312	62130
118	8405	62227
119	8494	62292
120	8591	62409
121	8679	62466
122	8785	62640
123	8876	62705
124	8972	62807
125	9059	62842
126	9129	62758
127	9203	62698
128	9270	62592
129	9338	62496
130	9403	62381
131	9465	62246
132	9533	62148
133	9601	62049
134	9672	61974
135	9733	61833
136	9798	61725
137	9871	61658
138	9943	61595
